Variable name,Description,Scoring,,,,,,,,,,,,,
StartDate,"Start date and time, MST",,,,,,,,,,,,,,
EndDate,"end date and time, MST",,,,,,,,,,,,,,
Status,?,,,,,,,,,,, ,,,
IPAddress,Specific IP address,,,,,,,,,,,,,,
Progress,Percentage complete,,,,,,,,,,,,,,
DurationSec,How many seconds it took to complete,,,,,,,,,,,,,,
Finished,True or false,,,,,,,,,,,,,,
RecordedDate,Date and time results recorded into qualtrics,,,,,,,,,,,,,,
ResponseId,Unique identifier,,,,,,,,,,,,,,
LocationLatitude,IP latitude,,,,,,,,,,,,,,
LocationLongitude,IP longitude,,,,,,,,,,,,,,
DistributionChannel,?,,,,,,,,,,,,,,
UserLanguage,language,,,,,,,,,,,,,,
Q_RecaptchaScore,I think this scores the legitimacy of the user to prevent junk answers?,,,,,,,,,,,,,,
Q_RelevantIDDuplicateScore,I think this scores the legitimacy of the user to prevent junk answers?,,,,,,,,,,,,,,
Q_RelevantIDFraudScore,I think this scores the legitimacy of the user to prevent junk answers?,,,,,,,,,,,,,,
ConsentForm,answer to consent form,,,,,,,,,,,,,,
DemoState,Respondent state,,,,,,,,,,,,,,
DemoZip,zip code,,,,,,,,,,,,,,
DemoGender,gender,,,,,,,,,,,,,,
DemoAge,age group,,,,,,,,,,,,,,
DemoRace,race,,,,,,,,,,,,,,
DemoEdu,education level,,,,,,,,,,,,,,
DemoSalary,salary grouping,,,,,,,,,,,,,,
PersonalExp1,"In the past five years, have you been personally affected by wildfires, hurricanes, tropical storms, floods, heat waves, drought, or other extreme weather-related events?","1: yes, 2: no, 3: I don't know",,,,,,,,,,,,,
PersonalExp2,Which types of extreme weather-related events have affected you in the past five years? (Check all that apply) - Selected Choice,"1: wildfire, 2: hurricane or tropical storm, 3: flood, 4: heat wave, 5: drought, 6: tornado or damaging wind storm, 7: other extreme weather",,,,,,,,,,,,,
PersonalExp2.1,Which types of extreme weather-related events have affected you in the past five years? (Check all that apply) - Other extreme weather - Text,text response,,,,,,,,,,,,,
PersonalExp3,Please select all that apply to your experience in the last five years: - Selected Choice,"1: experienced heavy smoke from wildfire, 2: experienced extreme event while sheltering at home, 3: experienced a ""near miss"" after tracking nearby event, 4: evacuated due to extreme event, 5: living quarters damaged, 6: living quarters lost, 7: lost income, 8: none of the above, 11: other",,,,,,,,,,,,,
PersonalExp3.1,Please select all that apply to your experience in the last five years: - Other - Text,text response,,,,,,,,,,,,,
ExtremeEvent1,"On a scale of 1 to 10, where 1 is fairly minor and 10 is complete devastation, how severely have you been impacted by extreme weather-related events in the past five years?","1: minor impacts, 10: major impacts",,,,,,,,,,,,,
ExtremeEvent2,How many extreme events have affected you in the past five years?,,,,,,,,,,,,,,
EEExposure,"Coded variable that combines intensity and frequency. 1: Low frequency and low intensity; 2: low one, high of other; 3: high both. See Index Development Excel for details. OR -- just simple addition of ExtremeEvent1 and ExtremeEvent2? OR ExtremeEvent1 + 2*ExtremeEvent2 (bec 5 is max number reported)?",,,,,,,,,,,,,,
ExtremeEvent3,"On a scale of 1 to 10, to what extent do you think that the [Field-1] events you experienced were due to climate change?","1: not at all due to climate change, 10: entirely due to climate change",,,,,,,,,,,,,
ExtremeEvent4,Which of these three statements about the Earthâ€™s temperature comes closest to your view?,"1: earth getting warmer mostly because of human activity such as burning fossil fuel, 2: earth is getting warmer mostly because of natural patterns in environment, 3: there is no solid evidence that earth is getting warmer",,,,,,,,,,,,,
EEDenier,Coded variable for Denier or not,0: Not a denier (selected that earth is warming because of human activity); 1: Denier (selected EITHER earth warming due to natural causes OR no evidence of warming)),,,,,,,,,,,,,
EEAttribution,??,,,,,,,,,,,,,,
PsyDistClimateGroup,"""What is the likelihood of climate change occurring""",Passive/Supportive grouping,,,,,,,,,,,,,
PsyDistNumber,"""What is the likelihood of climate change occurring"" numeric response","0: not at all likely, 10: extremely likely",,,,,,,,,,,,,
PsyDistLocal,"""My local area is likely to be affected by climate change""","1: strongly disagree, 2: disagree, 3: somewhat disagree, 4: neither agree nor disagree, 5: somewhat agree, 6: agree",,,,,,,,,,,,,
PsyDistFar,"""Climate change will mostly affect areas that are far away from here""","1: strongly disagree, 2: disagree, 3: somewhat disagree, 4: neither agree nor disagree, 5: somewhat agree, 6: agree",,,,,,,,,,,,,
PsyDistDevelop,"""Climate change will mostly affect developing countries""","1: strongly disagree, 2: disagree, 3: somewhat disagree, 4: neither agree nor disagree, 5: somewhat agree, 6: agree",,,,,,,,,,,,,
PsyDistImpact,""" Climate change is likely to have a big impact on people like me""","1: strongly disagree, 2: disagree, 3: somewhat disagree, 4: neither agree nor disagree, 5: somewhat agree, 6: agree",,,,,,,,,,,,,
PsyDistEffects,"""When, if at all, do you think the place you live will start feeling the effects of climate change?""","1: we are already feeling effects, 2: in the next 10 years, 3: in the next 25 years, 4: in the next 50 years, 5: in the next 100 years, 6: beyond the next 100 years, 7: never",,,,,,,,,,,,,
OEClimatePersExp,Use the space to write about personal experiences with cc,,,,,,,,,,,,,,
OEClimatePersExp_valid,valid response,,,,,,,,,,,,,,
OEClimatePersExp_none,"wrote in ""none"" or some variant",,,,,,,,,,,,,,
OEClimatePersExp_blank,blank answer,,,,,,,,,,,,,,
OEClimatePersExp_nonsense,nonsense,,,,,,,,,,,,,,
OEClimatePersExp_sensical,"sensical, but not on topic",,,,,,,,,,,,,,
OEClimateImages,Describe images that come to your head regarding cc,,,,,,,,,,,,,,
OEClimateImages_valid,valid response,,,,,,,,,,,,,,
