ResponseId,Q3.6,StartDate,EndDate,Status,Progress,DurationSec,Finished,RecordedDate,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,ConsentForm,DemoState,DemoZip,DemoGender,DemoAge,DemoRace,DemoEdu,DemoSalary,PersonalExpYN,EEAttributionNoExper,PersonalExpType,PersonalExpTypeOE,PersonalExpImpact,PersonalExpImpactOE,EEIntensity,EEFrequency,EEAttributionExper,CCHumanCaused,PsyDistClimateGroup,PsyDistNumber,PsyDistLocal,PsyDistFar,PsyDistDevelop,PsyDistImpact,PsyDistEffects,RVResponsibilityLocal1,RVResponsibilityGlobal1,RVInstrumentalLocal1,RVInstrumentalGlobal1,RVGroupIDLocal1,RVGroupIDGlobal1,RVKinshipLocal1,RVKinshipGlobal1,RVPersIDLocal1,RVPersIDGlobal1,RVCareLocal1,RVCareGlobal1,RVProgressLocal1,RVProgressGlobal1,RVResponsibilityGlobal2,RVResponsibilityLocal2,RVInstrumentalGlobal2,RVInstrumentalLocal2,RVGroupIDGlobal2,RVGroupIDLocal2,RVKinshipGlobal2,RVKinshipLocal2,RVPersIDGlobal2,RVPersIDLocal2,RVCareGlobal2,RVCareLocal2,RVProgressGlobal2,RVProgressLocal2,WTPPolicy,EcolEconGrowth,EcolEconRelationship,EcolEconGraphic,Q8.1_FirstClick,Q8.1_LastClick,Q8.1_PageSubmit,Q8.1_ClickCount,Q139_FirstClick,Q139_LastClick,Q139_PageSubmit,Q139_ClickCount,Q9.1_FirstClick,Q9.1_LastClick,Q9.1_PageSubmit,Q9.1_ClickCount,Q10.1_FirstClick,Q10.1_LastClick,Q10.1_PageSubmit,Q10.1_ClickCount,Q11.1_FirstClick,Q11.1_LastClick,Q11.1_PageSubmit,Q11.1_ClickCount,Q12.1_FirstClick,Q12.1_LastClick,Q12.1_PageSubmit,Q12.1_ClickCount,Q13.1_FirstClick,Q13.1_LastClick,Q13.1_PageSubmit,Q13.1_ClickCount,Q14.1_FirstClick,Q14.1_LastClick,Q14.1_PageSubmit,Q14.1_ClickCount,Q138_FirstClick,Q138_LastClick,Q138_PageSubmit,Q138_ClickCount,CCHumanActivity,CCHumanActDeforest,CCHumanActFossil,CCHumanActCigarette,CCHumanActCFC,CCHumanActToxic,CCHumanActNuclear,QuizSciAgree,QuizCarbonLevels,QuizEmissionYear,QuizActDeforest,QuizActFossil,QuizSciAgreeScore,QuizCarbonScore,QuizEmisYearScore,QuizCCHumanActScore,QuizScore,PriorityTerrorist,PriorityEconomy,PriorityHealthcare,PriorityEducation,PriorityEnvironment,PriorityImmigration,PriorityBudget,PriorityClimate,PriorityJob,PriorityMilitary,PriorityRace,PriorityCovid,DemoPresElection,DemoPolitical,Score,opp,RISN,rid,Q_TotalDuration,Q_BallotBoxStuffing,gc,term,wtpValue,Create.New.Field.or.Choose.From.Dropdown...,LS,Q60...Parent.Topics,Q60...Topics,EEAttributionAll,EEExposure,CCDenierOrNot,RVRespGlAll,RVRespLoAll,RVInstruGlAll,RVInstruLoAll,RVGrpIDGlAll,RVGrpIDLoAll,RVKinshipGlAll,RVKinshipLoAll,RVPersIDGlAll,RVPersIDLoAll,RVCareGlAll,RVCareLoAll,RVProgressGlAll,RVProgressLoAll,RVWhichGroup,DemoPol.3GRModSeparate,DemoPol.3Groups,PersonalExpType_wildfire,PersonalExpType_hurricane,PersonalExpType_flood,PersonalExpType_heat,PersonalExpType_drought,PersonalExpType_tornado,PersonalExpType_other,PersonalExpType_total,PersonalExpImpact_smoke,PersonalExpImpact_sheltering,PersonalExpImpact_nearmiss,PersonalExpImpact_evacuate,PersonalExpImpact_livingquarterdamage,PersonalExpImpact_livingquarterlost,PersonalExpImpact_incomelost,PersonalExpImpact_other,PersonalExpImpact_total,EEExposureAll,extremeExperienceYN,EEIntensityAll,wtp,c2,c3,t1a,t1b,t2a,t2b,t3a,t3b,t4,c1,t1,t2,t3,tA,tB,climateTopPriority,EEFrequency_std,EEIntensity_std,EEExposure_std,EEAttributionAll_std,EEAttributionXIntensity,EEAttributionXExposure,EEExposureAll_std,EEIntensityAll_std,DuplicatedZip
R_2P27RgiNNLpk5mb,NA,12/17/20 13:48,12/17/20 13:59,0,100,687,1,12/17/20 13:59,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3031,Woman,1,White,High school,7,2,6,NA,NA,NA,NA,NA,NA,NA,1,2,8,5,6,6,5,2,6,6,1,1,6,6,6,5,6,5,6,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.414,115.049,371.359,3,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,NA,NA,NA,NA,70,4,2,1,1,NA,2,2,2,6,4,3,4,4,4,3,3,4,3,2,4,4,3,6,6,qual2599-0922Wildfire,9492414,5fdbc43a-2c90-92cd-3227-8ea30af4f31e,687,NA,1,NA,225,NA,1017,NA,NA,6,NA,0,6,6,1,1,6,6,5,6,5,6,6,6,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,0.048483906,NA,NA,-0.850258229,-0.801451504,TRUE
R_daOAXVHWHK5wE6d,NA,1/2/21 11:30,1/2/21 11:41,0,100,625,1,1/2/21 11:41,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3031,Man,5,White,Graduate degree,7,2,8,NA,NA,NA,NA,NA,NA,NA,1,3,9,5,3,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,5,5,5,4,3,3,4,5,3,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.241,176.241,179.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,NA,NA,NA,NA,97,4,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,4,3,3,3,2,2,3,4,2,2,4,qual2599-0922Wildfire,9625650,5ff0bbdc-c84b-26a7-6dba-a130b9957bdc,625,NA,1,NA,65,NA,491,NA,NA,8,NA,0,5,5,3,3,5,5,5,4,3,3,4,5,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,TRUE
R_24kmODD466P8dgB,NA,1/5/21 15:33,1/5/21 15:42,0,100,551,1,1/5/21 15:42,anonymous,EN,0.9,NA,0,0,NA,1,New Hampshire,3031,Man,6,White,Graduate degree,8,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,5,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,5,5,5,5,4,7,7,4,4,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,165.582,0,21,2,1,NA,NA,NA,NA,78,4,3,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,1,5,qual2599-0922Wildfire,9625650,5ff4e950-aaef-3235-2574-df084e1b342b,551,NA,1,NA,265,NA,491,NA,NA,4,NA,0,4,4,7,5,5,5,5,4,7,7,4,4,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,-0.630179826,NA,NA,-0.850258229,-0.801451504,TRUE
R_2wAKF5czY65ghff,2,1/7/21 13:02,1/7/21 13:24,0,100,1336,1,1/7/21 13:24,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3031,Man,2,"American Indian or Alaska Native,White",Graduate degree,8,1,NA,3 5 7,NA,1 3 4 5,NA,10,2,2,2,1,2,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,1,1,4,4,5,5,1,1,4,4,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,4,2,4,3,1,1,2,4,6,qual2599-0922Wildfire,9625650,5ff768d2-c655-2304-9574-b5dd348a3ff5,1336,NA,1,NA,65,NA,491,NA,NA,2,12,1,3,4,4,4,1,1,4,4,5,5,1,1,4,4,2,2,2,0,0,1,0,1,0,1,3,1,0,1,0,1,0,0,0,3,12,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.329521125,2.217348548,1.653004592,-1.308843557,20,24,2.066826311,2.666383856,TRUE
R_vIv0s3OOIZUoaOd,NA,1/14/21 6:27,1/14/21 6:41,0,100,827,1,1/14/21 6:41,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3031,Woman,5,White,College (2 or 4 year),5,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,6,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,1,6,7,7,6,7,7,7,7,5,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734,205.141,212.535,14,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,NA,NA,NA,NA,97,4,2,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,3,3,4,4,2,4,4,3,6,6,qual2599-0922Wildfire,9714110,600046ae-2763-2185-ea61-c99645245a79,827,NA,1,NA,145,NA,725,NA,NA,4,NA,0,7,7,1,1,6,7,7,6,7,7,7,7,5,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,-0.630179826,NA,NA,-0.850258229,-0.801451504,TRUE
R_2R2PXhi1y94EIIb,NA,1/2/21 4:48,1/2/21 5:08,0,100,1241,1,1/2/21 5:08,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3032,Man,5,White,Graduate degree,7,2,5,NA,NA,NA,NA,NA,NA,NA,1,3,9,6,2,3,5,3,7,7,1,1,5,5,1,1,4,4,7,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,175.157,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,NA,NA,NA,NA,97,4,2,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,3,3,3,3,4,1,3,3,3,5,4,qual2599-0922Wildfire,9610146,5ff05d7a-41af-886d-81f3-d94c14f7527e,1241,NA,1,NA,205,NA,640,NA,NA,5,NA,0,7,7,1,1,5,5,1,1,4,4,7,7,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,TRUE
R_3LklPIZguBpLBRz,NA,1/6/21 0:02,1/6/21 0:21,0,100,1140,1,1/6/21 0:21,anonymous,EN,1,NA,0,5,NA,1,New Hampshire,3032,Man,2,White,College (2 or 4 year),1,2,8,NA,NA,NA,NA,NA,NA,NA,1,3,10,5,6,5,3,4,7,7,2,2,6,6,6,6,5,4,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.709,90.508,170.728,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1,NA,NA,2,NA,97,3,2,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,3,2,2,3,3,1,3,3,3,6,5,qual2599-0922Wildfire,9625650,5ff56061-3b0c-f22f-badc-a28819dddfcb,1140,NA,1,NA,5,NA,491,NA,NA,8,NA,0,7,7,2,2,6,6,6,6,4,5,5,5,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,TRUE
R_XOqz4USN6qZ6wPT,NA,12/19/20 8:20,12/19/20 8:31,0,100,669,1,12/19/20 8:31,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3033,Woman,2,White,College (2 or 4 year),6,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,7,1,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,1,7,7,7,7,7,7,7,7,1,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.243,94.243,184.695,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,NA,NA,NA,NA,97,4,2,1,1,2,2,2,2,8,3,3,4,4,4,4,4,4,4,2,4,4,3,6,4,qual2599-0922Wildfire,9492414,5fde1a1a-ae6e-2c7c-0bbe-3879ca36226b,669,NA,1,NA,65,NA,1017,NA,NA,10,NA,0,7,7,1,1,7,7,7,7,7,7,7,7,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,TRUE
R_10BPaWLEJwEosWP,7,12/19/20 9:06,12/19/20 9:38,0,100,1919,1,12/19/20 9:38,anonymous,EN,1,NA,0,0,NA,1,New Hampshire,3033,Woman,5,White,High school,6,1,NA,4 6,NA,2 3,NA,3,2,7,1,3,9,7,1,1,7,1,7,7,1,1,5,6,6,6,5,6,7,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,163.57,0,21,2,1,NA,NA,NA,NA,85,4,2,1,1,NA,2,2,2,6,3,4,3,3,3,2,3,3,3,2,3,4,3,1,5,qual2599-0922Wildfire,9492414,5fde253c-9f8d-5752-07a8-b4fb2b1aa4bf,1919,NA,1,NA,185,NA,1017,NA,NA,7,5,0,7,7,1,1,6,5,6,6,6,5,7,7,1,1,1,1,1,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,2,5,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.329521125,-0.686072606,-0.692024879,0.387815771,21,35,0.365193663,0.238899104,TRUE
R_27P6KKilaJxvBII,5,12/31/20 23:17,12/31/20 23:42,0,100,1488,1,12/31/20 23:42,anonymous,EN,1,NA,0,5,NA,1,New Hampshire,3033,Man,3,White,College (2 or 4 year),2,1,NA,7,Ice Storm Snowfall,2 5,NA,4,1,5,1,2,8,6,2,3,5,5,5,7,6,6,6,4,5,6,6,4,7,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,0,0,164.763,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,2,NA,NA,NA,NA,71,4,2,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,4,3,4,3,3,2,2,4,3,4,5,qual2599-0922Wildfire,9610146,5feebe78-8284-eb64-06c6-f619d035ab90,1488,NA,1,NA,165,NA,640,NA,NA,5,5,0,7,5,6,6,4,6,6,5,4,6,5,7,5,6,1,2,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.129071183,-0.271298156,-0.692024879,-0.29084796,20,25,0.365193663,0.58568264,TRUE
