ResponseId,DemoState,DemoZip,zip,state,stateAbb,stateFromZip,stateMatchZip
R_1BukRGpYWjYXuVz,Colorado,90280,90280,Colorado,CO,CA,0
R_ReSi2dCLleZO9t7,Maine,10573,10573,Maine,ME,NY,0
R_2vYeXihaEY5oLcZ,Florida,23359,23359,Florida,FL,VA,0
R_3MDKp8neQK4T8Yl,California,90488,90488,California,CA,NA,0
R_2hpUxS0CjfnljTH,Alabama,31643,31643,Alabama,AL,GA,0
R_3I5iuli38Seo1Aa,California,98644,98644,California,CA,WA,0
R_2V254JS7bjIih60,Florida,37495,37495,Florida,FL,NA,0
R_pLCh2VFhvmhuJl7,Colorado,91222,91222,Colorado,CO,CA,0
R_3fIX0xD4iAcXI26,Louisiana,79805,79805,Louisiana,LA,NA,0
R_vVIuuFwrALpS8QV,Washington,10007,10007,Washington,WA,NY,0
R_27svertKX7TGprI,California,10456,10456,California,CA,NY,0
R_3oL3JVND5R3GDNA,Florida,43759,43759,Florida,FL,OH,0
R_3fPDWBYlXYuADyJ,Florida,30309,30309,Florida,FL,GA,0
R_3gTtrbN729w8its,Washington,90001,90001,Washington,WA,CA,0
R_1GVAc2YbxbkhDTk,California,93840,93840,California,CA,NA,0
R_3KUsnmLreQUBcbu,California,94113,94113,California,CA,NA,0
R_3fd7J1QCi8h5Pnz,Florida,31014,31014,Florida,FL,GA,0
R_3dKW6392omY9bVu,Colorado,30325,30325,Colorado,CO,GA,0
R_1k1sRESkqUxk986,Florida,30219,30219,Florida,FL,GA,0
R_3J5cmBCCpjnGMLh,Florida,54723,54723,Florida,FL,WI,0
R_sMR1pXXaQ7IfK1j,California,1111,01111,California,CA,MA,0
R_2wbpLHXQxNwuHkZ,Georgia,30416,30416,Georgia,GA,NA,0
R_10GjxCJvIzdCFJP,Colorado,71129,71129,Colorado,CO,LA,0
R_3KUPDsrCGCgnJDd,California,37895,37895,California,CA,NA,0
R_3PGZO0VD8bidX9V,California,11453,11453,California,CA,NA,0
R_72mLYUPElHILvfH,California,95294,95294,California,CA,NA,0
R_264ri0Jh3fSe0gI,California,NA,NA,California,CA,NA,NA
R_2CjiH7vGniiGxf7,Oregon,7220,07220,Oregon,OR,NA,0
R_0Bt1CdgSEsVXex3,Colorado,56727,56727,Colorado,CO,MN,0
R_DS61erjCECNeT2V,Oregon,97003,97003,Oregon,OR,NA,0
R_TbDiBWCE0v3OTo5,Alabama,11209,11209,Alabama,AL,NY,0
R_1rucIUxezG3MFU0,Colorado,95112,95112,Colorado,CO,CA,0
R_2pK4HmoahcFwzzL,Washington,53190,53190,Washington,WA,WI,0
R_UDPGfejJqAcRcnn,Florida,34650,34650,Florida,FL,NA,0
R_TaOPP3GUO3wv9Sh,Georgia,12345,12345,Georgia,GA,NY,0
R_bqP3uNxrxkfI1j3,Georgia,38088,38088,Georgia,GA,TN,0
R_2fq8ai0jA4DaxIV,Oregon,99005,99005,Oregon,OR,WA,0
R_1QGZpC8cixqBl0U,Oregon,NA,NA,Oregon,OR,NA,NA
R_2c6mlWoe9LunW7W,Vermont,10013,10013,Vermont,VT,NY,0
R_2zNhdptr5doQhue,Mississippi,NA,NA,Mississippi,MS,NA,NA
R_3qQZsHSQzq9Ne0o,Alabama,35969,35969,Alabama,AL,NA,0
R_265Nj7yaJhYbhbo,Washington,NA,NA,Washington,WA,NA,NA
R_6lIADeeH4Z1M2Nr,Alabama,36554,36554,Alabama,AL,NA,0
R_2wbsO28ar6pjFPZ,New Hampshire,2873,02873,New Hampshire,NH,RI,0
R_3G26sWBM7ciqyiX,Vermont,39213,39213,Vermont,VT,MS,0
R_wZfZ923GPiN52oN,Alabama,25405,25405,Alabama,AL,WV,0
R_1OGHnYa9MrKs8KO,Colorado,NA,NA,Colorado,CO,NA,NA
R_3qJdMyVMKlcEfgi,Oregon,97003,97003,Oregon,OR,NA,0
R_3hhCbLY5eDvawm2,Washington,3079,03079,Washington,WA,NH,0
R_1DBl6AblHhMBdqu,New Hampshire,NA,NA,New Hampshire,NH,NA,NA
R_3nrsGtFLZ4cOObv,Colorado,30030,30030,Colorado,CO,GA,0
R_3kD6uB3gRgcdFdf,Washington,NA,NA,Washington,WA,NA,NA
R_3hAcxVuxwmJpOFN,Washington,NA,NA,Washington,WA,NA,NA
R_1C2bmoKBgajpkAw,Alabama,35313,35313,Alabama,AL,NA,0
R_3HucZnp59pwuPHb,Vermont,10020,10020,Vermont,VT,NY,0
R_DC9Zlr5qTZwfcLT,Maine,4403,04403,Maine,ME,NA,0
R_XLjqnuqfYleKvzH,Alabama,NA,NA,Alabama,AL,NA,NA
R_268wIK78SQvvh8n,Washington,99584,99584,Washington,WA,NA,0
R_zUrH6b6AlPjtKLL,Colorado,81104,81104,Colorado,CO,NA,0
R_8cfNup6oQKppD7r,Georgia,NA,NA,Georgia,GA,NA,NA
R_3MAI1mKCbxPmMNi,Maine,3254,03254,Maine,ME,NH,0
R_1LAo2ArxhITqTJK,Louisiana,20088,20088,Louisiana,LA,DC,0
R_1FEeK702OTrNEW9,New Hampshire,NA,NA,New Hampshire,NH,NA,NA
R_bmaSRSnOxVUcNih,New Hampshire,11111,11111,New Hampshire,NH,NA,0
R_1CJRGgMJRRsUc1g,New Hampshire,4820,04820,New Hampshire,NH,NA,0
R_TvFhrjuWEc6wh1f,Louisiana,NA,NA,Louisiana,LA,NA,NA
R_2Wx5fzWGdSe49c0,Vermont,5364,05364,Vermont,VT,NA,0
R_2CwdmhpmrtZo9xU,New Hampshire,3030,03030,New Hampshire,NH,NA,0
R_3fOxTnNVqhtwiGr,Louisiana,77898,77898,Louisiana,LA,NA,0
R_3sh1ACGXq2jp1Q8,Oregon,97953,97953,Oregon,OR,NA,0
R_UMScktG2KAwNnj3,Louisiana,4090,04090,Louisiana,LA,ME,0
