"","zip","state","DurationSec","DemoState","DemoZip","PersonalExpYN","EEAttributionNoExper","PersonalExpType","PersonalExpTypeOE","PersonalExpImpact","PersonalExpImpactOE","EEIntensity","EEFrequency","EEAttributionExper","CCHumanCaused","PsyDistClimateGroup","PsyDistNumber","PsyDistLocal","PsyDistFar","PsyDistDevelop","PsyDistImpact","PsyDistEffects","WTPPolicy","EcolEconGrowth","EcolEconRelationship","EcolEconGraphic","CCHumanActivity","CCHumanActDeforest","CCHumanActFossil","CCHumanActCigarette","CCHumanActCFC","CCHumanActToxic","CCHumanActNuclear","PriorityTerrorist","PriorityEconomy","PriorityHealthcare","PriorityEducation","PriorityEnvironment","PriorityImmigration","PriorityBudget","PriorityClimate","PriorityJob","PriorityMilitary","PriorityRace","PriorityCovid","DemoPresElection","DemoPolitical","gc","wtpValue","LS","EEAttributionAll","EEExposure","CCDenierOrNot","DemoPol.3GRModSeparate","DemoPol.3Groups","PersonalExpType_wildfire","PersonalExpType_hurricane","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_drought","PersonalExpType_tornado","PersonalExpType_other","PersonalExpType_total","PersonalExpImpact_smoke","PersonalExpImpact_sheltering","PersonalExpImpact_nearmiss","PersonalExpImpact_evacuate","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_incomelost","PersonalExpImpact_other","PersonalExpImpact_total","EEExposureAll","extremeExperienceYN","EEIntensityAll","wtp","c2","c3","t1a","t1b","t2a","t2b","t3a","t3b","t4","c1","t1","t2","t3","tA","tB","climateTopPriority","EEFrequency_std","EEIntensity_std","EEExposure_std","EEAttributionAll_std","EEAttributionXIntensity","EEAttributionXExposure","EEExposureAll_std","EEIntensityAll_std","DuplicatedZip","biden","trump","nonvoter","thirdparty","bipoc","age","male","collegeGrad","income","ccHumanCaused","ccNatureCaused","ccNotHappening"
"1","32808","Florida",147,"Florida",32808,1,NA,"1 2 5",NA,"2",NA,7,4,6,1,2,8,3,4,2,6,3,1,3,NA,1,32,NA,2,1,NA,NA,NA,2,4,3,3,2,4,3,2,2,2,3,3,3,7,1,185,873,6,11,0,3,3,1,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,11,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.269578991,0.973025196,1.318000382,0.048483906,42,66,1.823735932,1.626033248,FALSE,1,0,0,0,1,39.5,0,0,17.5,1,0,0
"2","33157","Florida",298,"Florida",33157,1,NA,"5",NA,"1",NA,10,0,2,1,1,6,4,3,1,6,3,1,1,1,NA,42,NA,2,NA,1,NA,NA,4,2,4,4,4,4,4,4,3,4,4,4,2,3,1,25,873,2,10,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,10,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.928621241,2.217348548,0.982996172,-1.308843557,20,20,1.580645554,2.666383856,FALSE,0,1,0,0,0,49.5,0,0,17.5,1,0,0
"3","94015","California",335,"California",94015,2,1,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,1,7,7,6,2,6,NA,1,16,1,NA,NA,NA,NA,2,1,1,1,4,1,1,1,1,4,1,1,3,3,4,1,85,873,1,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,21,0,1,10,0,0,1
"4","30518","Georgia",373,"Georgia",30518,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,8,4,2,2,6,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,3,2,2,3,4,1,3,2,1,165,873,3,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,NA,-0.969511691,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,21,0,1,37.5,1,0,0
"5","98409","Washington",594,"Washington",98409,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,5,4,6,2,4,3,1,2,1,NA,25,NA,1,NA,NA,2,NA,2,3,2,3,2,2,2,2,3,3,2,3,1,6,1,105,873,5,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,29.5,0,1,17.5,1,0,0
"6","80232","Colorado",357,"Colorado",80232,2,9,NA,NA,NA,NA,NA,NA,NA,1,3,9,6,3,2,5,3,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,4,4,2,4,4,1,3,4,1,125,873,9,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.066479503,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,0,29.5,1,1,37.5,1,0,0
"7","11217","New York",623,"New York",11217,2,7,NA,NA,NA,NA,NA,NA,NA,2,1,6,3,5,3,4,2,1,3,NA,2,21,2,1,NA,NA,NA,NA,4,4,4,4,4,3,3,3,4,4,4,4,1,5,1,5,873,7,NA,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,59.5,1,0,17.5,0,1,0
"8","80226","Colorado",876,"Colorado",80226,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,5,4,4,4,1,1,1,1,NA,25,NA,1,NA,NA,2,NA,4,4,4,4,4,4,3,4,4,3,4,4,3,4,1,45,873,10,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,39.5,0,1,62.5,1,0,0
"9","30058","Georgia",595,"Georgia",30058,2,10,NA,NA,NA,NA,NA,NA,NA,2,3,9,5,1,1,7,1,1,4,NA,3,32,NA,2,1,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,1,6,1,45,873,10,NA,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,29.5,0,0,37.5,0,1,0
"10","93960","California",645,"California",93960,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,4,5,6,6,2,1,1,3,NA,65,NA,NA,NA,NA,2,1,3,3,4,3,4,4,1,4,4,3,4,4,1,3,1,165,873,1,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,0,0,62.5,1,0,0
